период;курс_доллара_уровень;курс_доллара_изменение_pct;курс_евро_уровень;курс_евро_изменение_pct;курс_юаня_уровень;курс_юаня_изменение_pct;ключевая_ставка_уровень;ключевая_ставка_изменение_pct;индекс_потребительских_цен_уровень;индекс_потребительских_цен_изменение_pct
2018-W15 (нед. с 2018-04-09);;;;;;;;;105.0717;0.0000
2018-W16 (нед. с 2018-04-16);;;;;;;;;105.0717;0.0000
2018-W17 (нед. с 2018-04-23);;;;;;;;;105.0717;0.0000
2018-W18 (нед. с 2018-04-30);;;;;;;;;105.0717;0.0000
2018-W19 (нед. с 2018-05-07);;;;;;;;;105.4709;0.3800
2018-W20 (нед. с 2018-05-14);;;;;;;;;105.4709;0.0000
2018-W21 (нед. с 2018-05-21);;;;;;;;;105.4709;0.0000
2018-W22 (нед. с 2018-05-28);;;;;;;;;105.4709;0.0000
2018-W23 (нед. с 2018-06-04);;;;;;;;;105.9877;0.4900
2018-W24 (нед. с 2018-06-11);;;;;;;;;105.9877;0.0000
2018-W25 (нед. с 2018-06-18);;;;;;;;;105.9877;0.0000
2018-W26 (нед. с 2018-06-25);;;;;;;;;105.9877;0.0000
2018-W27 (нед. с 2018-07-02);;;;;;;;;106.2739;0.2700
2018-W28 (нед. с 2018-07-09);;;;;;;;;106.2739;0.0000
2018-W29 (нед. с 2018-07-16);;;;;;;;;106.2739;0.0000
2018-W30 (нед. с 2018-07-23);;;;;;;;;106.2739;0.0000
2018-W31 (нед. с 2018-07-30);;;;;;;;;106.2739;0.0000
2018-W32 (нед. с 2018-08-06);;;;;;;;;106.2845;0.0100
2018-W33 (нед. с 2018-08-13);;;;;;;;;106.2845;0.0000
2018-W34 (нед. с 2018-08-20);;;;;;;;;106.2845;0.0000
2018-W35 (нед. с 2018-08-27);;;;;;;;;106.2845;0.0000
2018-W36 (нед. с 2018-09-03);;;;;;;;;106.4546;0.1600
2018-W37 (нед. с 2018-09-10);;;;;;;;;106.4546;0.0000
2018-W38 (нед. с 2018-09-17);;;;;;;;;106.4546;0.0000
2018-W39 (нед. с 2018-09-24);;;;;;;;;106.4546;0.0000
2018-W40 (нед. с 2018-10-01);;;;;;;;;106.8272;0.3500
2018-W41 (нед. с 2018-10-08);;;;;;;;;106.8272;0.0000
2018-W42 (нед. с 2018-10-15);;;;;;;;;106.8272;0.0000
2018-W43 (нед. с 2018-10-22);;;;;;;;;106.8272;0.0000
2018-W44 (нед. с 2018-10-29);;;;;;;;;106.8272;0.0000
2018-W45 (нед. с 2018-11-05);;;;;;;;;107.3613;0.5000
2018-W46 (нед. с 2018-11-12);;;;;;;;;107.3613;0.0000
2018-W47 (нед. с 2018-11-19);;;;;;;;;107.3613;0.0000
2018-W48 (нед. с 2018-11-26);;;;;;;;;107.3613;0.0000
2018-W49 (нед. с 2018-12-03);;;;;;;;;108.2631;0.8400
2018-W50 (нед. с 2018-12-10);;;;;;;;;108.2631;0.0000
2018-W51 (нед. с 2018-12-17);;;;;;;;;108.2631;0.0000
2018-W52 (нед. с 2018-12-24);;;;;;;;;108.2631;0.0000
2019-W01 (нед. с 2018-12-31);;;;;;;;;108.2631;0.0000
2019-W02 (нед. с 2019-01-07);;;;;;;;;109.3566;1.0100
2019-W03 (нед. с 2019-01-14);;;;;;;;;109.3566;0.0000
2019-W04 (нед. с 2019-01-21);;;;;;;;;109.3566;0.0000
2019-W05 (нед. с 2019-01-28);;;;;;;;;109.3566;0.0000
2019-W06 (нед. с 2019-02-04);;;;;;;;;109.8378;0.4400
2019-W07 (нед. с 2019-02-11);;;;;;;;;109.8378;0.0000
2019-W08 (нед. с 2019-02-18);;;;;;;;;109.8378;0.0000
2019-W09 (нед. с 2019-02-25);;;;;;;;;109.8378;0.0000
2019-W10 (нед. с 2019-03-04);;;;;;;;;110.1893;0.3200
2019-W11 (нед. с 2019-03-11);;;;;;;;;110.1893;0.0000
2019-W12 (нед. с 2019-03-18);;;;;;;;;110.1893;0.0000
2019-W13 (нед. с 2019-03-25);;;;;;;;;110.1893;0.0000
2019-W14 (нед. с 2019-04-01);;;;;;;;;110.5088;0.2900
2019-W15 (нед. с 2019-04-08);;;;;;;;;110.5088;0.0000
2019-W16 (нед. с 2019-04-15);;;;;;;;;110.5088;0.0000
2019-W17 (нед. с 2019-04-22);;;;;;;;;110.5088;0.0000
2019-W18 (нед. с 2019-04-29);;;;;;;;;110.5088;0.0000
2019-W19 (нед. с 2019-05-06);;;;;;;;;110.8845;0.3400
2019-W20 (нед. с 2019-05-13);;;;;;;;;110.8845;0.0000
2019-W21 (нед. с 2019-05-20);;;;;;;;;110.8845;0.0000
2019-W22 (нед. с 2019-05-27);;;;;;;;;110.8845;0.0000
2019-W23 (нед. с 2019-06-03);;;;;;;;;110.9289;0.0400
2019-W24 (нед. с 2019-06-10);;;;;;;;;110.9289;0.0000
2019-W25 (нед. с 2019-06-17);;;;;;;;;110.9289;0.0000
2019-W26 (нед. с 2019-06-24);;;;;;;;;110.9289;0.0000
2019-W27 (нед. с 2019-07-01);;;;;;;;;111.1507;0.2000
2019-W28 (нед. с 2019-07-08);;;;;;;;;111.1507;0.0000
2019-W29 (нед. с 2019-07-15);;;;;;;;;111.1507;0.0000
2019-W30 (нед. с 2019-07-22);;;;;;;;;111.1507;0.0000
2019-W31 (нед. с 2019-07-29);;;;;;;;;111.1507;0.0000
2019-W32 (нед. с 2019-08-05);;;;;;;;;110.8840;-0.2400
2019-W33 (нед. с 2019-08-12);;;;;;;;;110.8840;0.0000
2019-W34 (нед. с 2019-08-19);;;;;;;;;110.8840;0.0000
2019-W35 (нед. с 2019-08-26);;;;;;;;;110.8840;0.0000
2019-W36 (нед. с 2019-09-02);;;;;;;;;110.7066;-0.1600
2019-W37 (нед. с 2019-09-09);;;;;;;;;110.7066;0.0000
2019-W38 (нед. с 2019-09-16);;;;;;;;;110.7066;0.0000
2019-W39 (нед. с 2019-09-23);;;;;;;;;110.7066;0.0000
2019-W40 (нед. с 2019-09-30);;;;;;;;;110.7066;0.0000
2019-W41 (нед. с 2019-10-07);;;;;;;;;110.8505;0.1300
2019-W42 (нед. с 2019-10-14);;;;;;;;;110.8505;0.0000
2019-W43 (нед. с 2019-10-21);;;;;;;;;110.8505;0.0000
2019-W44 (нед. с 2019-10-28);;;;;;;;;110.8505;0.0000
2019-W45 (нед. с 2019-11-04);;;;;;;;;111.1609;0.2800
2019-W46 (нед. с 2019-11-11);;;;;;;;;111.1609;0.0000
2019-W47 (нед. с 2019-11-18);;;;;;;;;111.1609;0.0000
2019-W48 (нед. с 2019-11-25);;;;;;;;;111.1609;0.0000
2019-W49 (нед. с 2019-12-02);;;;;;;;;111.5610;0.3600
2019-W50 (нед. с 2019-12-09);;;;;;;;;111.5610;0.0000
2019-W51 (нед. с 2019-12-16);;;;;;;;;111.5610;0.0000
2019-W52 (нед. с 2019-12-23);;;;;;;;;111.5610;0.0000
2020-W01 (нед. с 2019-12-30);;;;;;;;;111.5610;0.0000
2020-W02 (нед. с 2020-01-06);;;;;;;;;112.0073;0.4000
2020-W03 (нед. с 2020-01-13);;;;;;;;;112.0073;0.0000
2020-W04 (нед. с 2020-01-20);;;;;;;;;112.0073;0.0000
2020-W05 (нед. с 2020-01-27);;;;;;;;;112.0073;0.0000
2020-W06 (нед. с 2020-02-03);;;;;;;;;112.3769;0.3300
2020-W07 (нед. с 2020-02-10);;;;;;;;;112.3769;0.0000
2020-W08 (нед. с 2020-02-17);;;;;;;;;112.3769;0.0000
2020-W09 (нед. с 2020-02-24);;;;;;;;;112.3769;0.0000
2020-W10 (нед. с 2020-03-02);;;;;;;;;112.9950;0.5500
2020-W11 (нед. с 2020-03-09);;;;;;;;;112.9950;0.0000
2020-W12 (нед. с 2020-03-16);;;;;;;;;112.9950;0.0000
2020-W13 (нед. с 2020-03-23);;;;;;;;;112.9950;0.0000
2020-W14 (нед. с 2020-03-30);;;;;;;;;112.9950;0.0000
2020-W15 (нед. с 2020-04-06);;;;;;;;;113.9328;0.8300
2020-W16 (нед. с 2020-04-13);;;;;;;;;113.9328;0.0000
2020-W17 (нед. с 2020-04-20);;;;;;;;;113.9328;0.0000
2020-W18 (нед. с 2020-04-27);;;;;;;;;113.9328;0.0000
2020-W19 (нед. с 2020-05-04);;;;;;;;;114.2405;0.2700
2020-W20 (нед. с 2020-05-11);;;;;;;;;114.2405;0.0000
2020-W21 (нед. с 2020-05-18);;;;;;;;;114.2405;0.0000
2020-W22 (нед. с 2020-05-25);;;;;;;;;114.2405;0.0000
2020-W23 (нед. с 2020-06-01);;;;;;;;;114.4918;0.2200
2020-W24 (нед. с 2020-06-08);;;;;;;;;114.4918;0.0000
2020-W25 (нед. с 2020-06-15);;;;;;;;;114.4918;0.0000
2020-W26 (нед. с 2020-06-22);;;;;;;;;114.4918;0.0000
2020-W27 (нед. с 2020-06-29);;;;;;;;;114.4918;0.0000
2020-W28 (нед. с 2020-07-06);;;;;;;;;114.8925;0.3500
2020-W29 (нед. с 2020-07-13);;;;;;;;;114.8925;0.0000
2020-W30 (нед. с 2020-07-20);;;;;;;;;114.8925;0.0000
2020-W31 (нед. с 2020-07-27);;;;;;;;;114.8925;0.0000
2020-W32 (нед. с 2020-08-03);;;;;;;;;114.8466;-0.0400
2020-W33 (нед. с 2020-08-10);;;;;;;;;114.8466;0.0000
2020-W34 (нед. с 2020-08-17);;;;;;;;;114.8466;0.0000
2020-W35 (нед. с 2020-08-24);;;;;;;;;114.8466;0.0000
2020-W36 (нед. с 2020-08-31);;;;;;;;;114.8466;0.0000
2020-W37 (нед. с 2020-09-07);;;;;;;;;114.7662;-0.0700
2020-W38 (нед. с 2020-09-14);;;;;;;;;114.7662;0.0000
2020-W39 (нед. с 2020-09-21);;;;;;;;;114.7662;0.0000
2020-W40 (нед. с 2020-09-28);;;;;;;;;114.7662;0.0000
2020-W41 (нед. с 2020-10-05);;;;;;;;;115.2597;0.4300
2020-W42 (нед. с 2020-10-12);;;;;;;;;115.2597;0.0000
2020-W43 (нед. с 2020-10-19);;;;;;;;;115.2597;0.0000
2020-W44 (нед. с 2020-10-26);;;;;;;;;115.2597;0.0000
2020-W45 (нед. с 2020-11-02);;;;;;;;;116.0780;0.7100
2020-W46 (нед. с 2020-11-09);;;;;;;;;116.0780;0.0000
2020-W47 (нед. с 2020-11-16);;;;;;;;;116.0780;0.0000
2020-W48 (нед. с 2020-11-23);;;;;;;;;116.0780;0.0000
2020-W49 (нед. с 2020-11-30);;;;;;;;;116.0780;0.0000
2020-W50 (нед. с 2020-12-07);;;;;;;;;117.0415;0.8300
2020-W51 (нед. с 2020-12-14);;;;;;;;;117.0415;0.0000
2020-W52 (нед. с 2020-12-21);;;;;;;;;117.0415;0.0000
2020-W53 (нед. с 2020-12-28);;;;;;;;;117.0415;0.0000
2021-W01 (нед. с 2021-01-04);;;;;;;;;117.8256;0.6700
2021-W02 (нед. с 2021-01-11);;;;;;;;;117.8256;0.0000
2021-W03 (нед. с 2021-01-18);;;;;;;;;117.8256;0.0000
2021-W04 (нед. с 2021-01-25);;;;;;;;;117.8256;0.0000
2021-W05 (нед. с 2021-02-01);;;;;;;;;118.7447;0.7800
2021-W06 (нед. с 2021-02-08);;;;;;;;;118.7447;0.0000
2021-W07 (нед. с 2021-02-15);;;;;;;;;118.7447;0.0000
2021-W08 (нед. с 2021-02-22);;;;;;;;;118.7447;0.0000
2021-W09 (нед. с 2021-03-01);;;;;;;;;119.5284;0.6600
2021-W10 (нед. с 2021-03-08);;;;;;;;;119.5284;0.0000
2021-W11 (нед. с 2021-03-15);;;;;;;;;119.5284;0.0000
2021-W12 (нед. с 2021-03-22);;;;;;;;;119.5284;0.0000
2021-W13 (нед. с 2021-03-29);;;;;;;;;119.5284;0.0000
2021-W14 (нед. с 2021-04-05);;;;;;;;;120.2216;0.5800
2021-W15 (нед. с 2021-04-12);;;;;;;;;120.2216;0.0000
2021-W16 (нед. с 2021-04-19);;;;;;;;;120.2216;0.0000
2021-W17 (нед. с 2021-04-26);;;;;;;;;120.2216;0.0000
2021-W18 (нед. с 2021-05-03);;;;;;;;;121.1113;0.7400
2021-W19 (нед. с 2021-05-10);;;;;;;;;121.1113;0.0000
2021-W20 (нед. с 2021-05-17);;;;;;;;;121.1113;0.0000
2021-W21 (нед. с 2021-05-24);;;;;;;;;121.1113;0.0000
2021-W22 (нед. с 2021-05-31);;;;;;;;;121.1113;0.0000
2021-W23 (нед. с 2021-06-07);;;;;;;;;121.9470;0.6900
2021-W24 (нед. с 2021-06-14);;;;;;;;;121.9470;0.0000
2021-W25 (нед. с 2021-06-21);;;;;;;;;121.9470;0.0000
2021-W26 (нед. с 2021-06-28);;;;;;;;;121.9470;0.0000
2021-W27 (нед. с 2021-07-05);;;;;;;;;122.3250;0.3100
2021-W28 (нед. с 2021-07-12);;;;;;;;;122.3250;0.0000
2021-W29 (нед. с 2021-07-19);;;;;;;;;122.3250;0.0000
2021-W30 (нед. с 2021-07-26);;;;;;;;;122.3250;0.0000
2021-W31 (нед. с 2021-08-02);;;;;;;;;122.5329;0.1700
2021-W32 (нед. с 2021-08-09);;;;;;;;;122.5329;0.0000
2021-W33 (нед. с 2021-08-16);;;;;;;;;122.5329;0.0000
2021-W34 (нед. с 2021-08-23);;;;;;;;;122.5329;0.0000
2021-W35 (нед. с 2021-08-30);;;;;;;;;122.5329;0.0000
2021-W36 (нед. с 2021-09-06);;;;;;;;;123.2681;0.6000
2021-W37 (нед. с 2021-09-13);;;;;;;;;123.2681;0.0000
2021-W38 (нед. с 2021-09-20);;;;;;;;;123.2681;0.0000
2021-W39 (нед. с 2021-09-27);;;;;;;;;123.2681;0.0000
2021-W40 (нед. с 2021-10-04);;;;;;;;;124.6364;1.1100
