период;курс_доллара_уровень;курс_доллара_изменение_pct;курс_евро_уровень;курс_евро_изменение_pct;курс_юаня_уровень;курс_юаня_изменение_pct;ключевая_ставка_уровень;ключевая_ставка_изменение_pct;индекс_потребительских_цен_уровень;индекс_потребительских_цен_изменение_pct
2023-W38 (нед. с 2023-09-18);;;;;;;;;148.5213;0.0000
2023-W39 (нед. с 2023-09-25);;;;;;;;;148.5213;0.0000
2023-W40 (нед. с 2023-10-02);;;;;;;;;149.7540;0.8300
2023-W41 (нед. с 2023-10-09);;;;;;;;;149.7540;0.0000
2023-W42 (нед. с 2023-10-16);;;;;;;;;149.7540;0.0000
2023-W43 (нед. с 2023-10-23);;;;;;;;;149.7540;0.0000
2023-W44 (нед. с 2023-10-30);;;;;;;;;149.7540;0.0000
2023-W45 (нед. с 2023-11-06);;;;;;;;;151.4163;1.1100
2023-W46 (нед. с 2023-11-13);;;;;;;;;151.4163;0.0000
2023-W47 (нед. с 2023-11-20);;;;;;;;;151.4163;0.0000
2023-W48 (нед. с 2023-11-27);;;;;;;;;151.4163;0.0000
2023-W49 (нед. с 2023-12-04);;;;;;;;;152.5217;0.7300
2023-W50 (нед. с 2023-12-11);;;;;;;;;152.5217;0.0000
2023-W51 (нед. с 2023-12-18);;;;;;;;;152.5217;0.0000
2023-W52 (нед. с 2023-12-25);;;;;;;;;152.5217;0.0000
2024-W01 (нед. с 2024-01-01);;;;;;;;;153.8333;0.8600
2024-W02 (нед. с 2024-01-08);;;;;;;;;153.8333;0.0000
2024-W03 (нед. с 2024-01-15);;;;;;;;;153.8333;0.0000
2024-W04 (нед. с 2024-01-22);;;;;;;;;153.8333;0.0000
2024-W05 (нед. с 2024-01-29);;;;;;;;;153.8333;0.0000
2024-W06 (нед. с 2024-02-05);;;;;;;;;154.8794;0.6800
2024-W07 (нед. с 2024-02-12);;;;;;;;;154.8794;0.0000
2024-W08 (нед. с 2024-02-19);;;;;;;;;154.8794;0.0000
2024-W09 (нед. с 2024-02-26);;;;;;;;;154.8794;0.0000
2024-W10 (нед. с 2024-03-04);;;;;;;;;155.4834;0.3900
2024-W11 (нед. с 2024-03-11);;;;;;;;;155.4834;0.0000
2024-W12 (нед. с 2024-03-18);;;;;;;;;155.4834;0.0000
2024-W13 (нед. с 2024-03-25);;;;;;;;;155.4834;0.0000
2024-W14 (нед. с 2024-04-01);;;;;;;;;156.2609;0.5000
2024-W15 (нед. с 2024-04-08);;;;;;;;;156.2609;0.0000
2024-W16 (нед. с 2024-04-15);;;;;;;;;156.2609;0.0000
2024-W17 (нед. с 2024-04-22);;;;;;;;;156.2609;0.0000
2024-W18 (нед. с 2024-04-29);;;;;;;;;156.2609;0.0000
2024-W19 (нед. с 2024-05-06);;;;;;;;;157.4172;0.7400
2024-W20 (нед. с 2024-05-13);;;;;;;;;157.4172;0.0000
2024-W21 (нед. с 2024-05-20);;;;;;;;;157.4172;0.0000
2024-W22 (нед. с 2024-05-27);;;;;;;;;157.4172;0.0000
2024-W23 (нед. с 2024-06-03);;;;;;;;;158.4247;0.6400
2024-W24 (нед. с 2024-06-10);;;;;;;;;158.4247;0.0000
2024-W25 (нед. с 2024-06-17);;;;;;;;;158.4247;0.0000
2024-W26 (нед. с 2024-06-24);;;;;;;;;158.4247;0.0000
2024-W27 (нед. с 2024-07-01);;;;;;;;;160.2307;1.1400
2024-W28 (нед. с 2024-07-08);;;;;;;;;160.2307;0.0000
2024-W29 (нед. с 2024-07-15);;;;;;;;;160.2307;0.0000
2024-W30 (нед. с 2024-07-22);;;;;;;;;160.2307;0.0000
2024-W31 (нед. с 2024-07-29);;;;;;;;;160.2307;0.0000
2024-W32 (нед. с 2024-08-05);;;;;;;;;160.5512;0.2000
2024-W33 (нед. с 2024-08-12);;;;;;;;;160.5512;0.0000
2024-W34 (нед. с 2024-08-19);;;;;;;;;160.5512;0.0000
2024-W35 (нед. с 2024-08-26);;;;;;;;;160.5512;0.0000
2024-W36 (нед. с 2024-09-02);;;;;;;;;161.3218;0.4800
2024-W37 (нед. с 2024-09-09);;;;;;;;;161.3218;0.0000
2024-W38 (нед. с 2024-09-16);;;;;;;;;161.3218;0.0000
2024-W39 (нед. с 2024-09-23);;;;;;;;;161.3218;0.0000
2024-W40 (нед. с 2024-09-30);;;;;;;;;161.3218;0.0000
2024-W41 (нед. с 2024-10-07);;;;;;;;;162.5317;0.7500
2024-W42 (нед. с 2024-10-14);;;;;;;;;162.5317;0.0000
2024-W43 (нед. с 2024-10-21);;;;;;;;;162.5317;0.0000
2024-W44 (нед. с 2024-10-28);;;;;;;;;162.5317;0.0000
2024-W45 (нед. с 2024-11-04);;;;;;;;;164.8559;1.4300
2024-W46 (нед. с 2024-11-11);;;;;;;;;164.8559;0.0000
2024-W47 (нед. с 2024-11-18);;;;;;;;;164.8559;0.0000
2024-W48 (нед. с 2024-11-25);;;;;;;;;164.8559;0.0000
2024-W49 (нед. с 2024-12-02);;;;;;;;;167.0320;1.3200
2024-W50 (нед. с 2024-12-09);;;;;;;;;167.0320;0.0000
2024-W51 (нед. с 2024-12-16);;;;;;;;;167.0320;0.0000
2024-W52 (нед. с 2024-12-23);;;;;;;;;167.0320;0.0000
2025-W01 (нед. с 2024-12-30);;;;;;;;;167.0320;0.0000
2025-W02 (нед. с 2025-01-06);;;;;;;;;169.0865;1.2300
2025-W03 (нед. с 2025-01-13);;;;;;;;;169.0865;0.0000
2025-W04 (нед. с 2025-01-20);;;;;;;;;169.0865;0.0000
2025-W05 (нед. с 2025-01-27);;;;;;;;;169.0865;0.0000
2025-W06 (нед. с 2025-02-03);;;;;;;;;170.4561;0.8100
2025-W07 (нед. с 2025-02-10);;;;;;;;;170.4561;0.0000
2025-W08 (нед. с 2025-02-17);;;;;;;;;170.4561;0.0000
2025-W09 (нед. с 2025-02-24);;;;;;;;;170.4561;0.0000
2025-W10 (нед. с 2025-03-03);;;;;;;;;171.5641;0.6500
2025-W11 (нед. с 2025-03-10);;;;;;;;;171.5641;0.0000
2025-W12 (нед. с 2025-03-17);;;;;;;;;171.5641;0.0000
2025-W13 (нед. с 2025-03-24);;;;;;;;;171.5641;0.0000
2025-W14 (нед. с 2025-03-31);;;;;;;;;171.5641;0.0000
2025-W15 (нед. с 2025-04-07);;;;;;;;;172.2503;0.4000
2025-W16 (нед. с 2025-04-14);;;;;;;;;172.2503;0.0000
2025-W17 (нед. с 2025-04-21);;;;;;;;;172.2503;0.0000
2025-W18 (нед. с 2025-04-28);;;;;;;;;172.2503;0.0000
2025-W19 (нед. с 2025-05-05);;;;;;;;;172.9910;0.4300
2025-W20 (нед. с 2025-05-12);;;;;;;;;172.9910;0.0000
2025-W21 (нед. с 2025-05-19);;;;;;;;;172.9910;0.0000
2025-W22 (нед. с 2025-05-26);;;;;;;;;172.9910;0.0000
2025-W23 (нед. с 2025-06-02);;;;;;;;;173.3370;0.2000
2025-W24 (нед. с 2025-06-09);;;;;;;;;173.3370;0.0000
2025-W25 (нед. с 2025-06-16);;;;;;;;;173.3370;0.0000
2025-W26 (нед. с 2025-06-23);;;;;;;;;173.3370;0.0000
2025-W27 (нед. с 2025-06-30);;;;;;;;;173.3370;0.0000
2025-W28 (нед. с 2025-07-07);;;;;;;;;174.3250;0.5700
2025-W29 (нед. с 2025-07-14);;;;;;;;;174.3250;0.0000
2025-W30 (нед. с 2025-07-21);;;;;;;;;174.3250;0.0000
2025-W31 (нед. с 2025-07-28);;;;;;;;;174.3250;0.0000
2025-W32 (нед. с 2025-08-04);;;;;;;;;173.6277;-0.4000
2025-W33 (нед. с 2025-08-11);;;;;;;;;173.6277;0.0000
2025-W34 (нед. с 2025-08-18);;;;;;;;;173.6277;0.0000
2025-W35 (нед. с 2025-08-25);;;;;;;;;173.6277;0.0000
2025-W36 (нед. с 2025-09-01);;;;;;;;;174.2180;0.3400
2025-W37 (нед. с 2025-09-08);;;;;;;;;174.2180;0.0000
2025-W38 (нед. с 2025-09-15);;;;;;;;;174.2180;0.0000
2025-W39 (нед. с 2025-09-22);;;;;;;;;174.2180;0.0000
2025-W40 (нед. с 2025-09-29);;;;;;;;;174.2180;0.0000
2025-W41 (нед. с 2025-10-06);;;;;;;;;175.0891;0.5000
2025-W42 (нед. с 2025-10-13);;;;;;;;;175.0891;0.0000
2025-W43 (нед. с 2025-10-20);;;;;;;;;175.0891;0.0000
2025-W44 (нед. с 2025-10-27);;;;;;;;;175.0891;0.0000
2025-W45 (нед. с 2025-11-03);;;;;;;;;175.8245;0.4200
2025-W46 (нед. с 2025-11-10);;;;;;;;;175.8245;0.0000
2025-W47 (нед. с 2025-11-17);;;;;;;;;175.8245;0.0000
2025-W48 (нед. с 2025-11-24);;;;;;;;;175.8245;0.0000
2025-W49 (нед. с 2025-12-01);;;;;;;;;176.3872;0.3200
2025-W50 (нед. с 2025-12-08);;;;;;;;;176.3872;0.0000
2025-W51 (нед. с 2025-12-15);;;;;;;;;176.3872;0.0000
2025-W52 (нед. с 2025-12-22);;;;;;;;;176.3872;0.0000
2026-W01 (нед. с 2025-12-29);;;;;;;;;176.3872;0.0000
2026-W02 (нед. с 2026-01-05);;;;;;;;;179.2446;1.6200
2026-W03 (нед. с 2026-01-12);;;;;;;;;179.2446;0.0000
2026-W04 (нед. с 2026-01-19);;;;;;;;;179.2446;0.0000
2026-W05 (нед. с 2026-01-26);;;;;;;;;179.2446;0.0000
2026-W06 (нед. с 2026-02-02);;;;;;;;;180.5531;0.7300
2026-W07 (нед. с 2026-02-09);;;;;;;;;180.5531;0.0000
2026-W08 (нед. с 2026-02-16);;;;;;;;;180.5531;0.0000
2026-W09 (нед. с 2026-02-23);;;;;;;;;180.5531;0.0000
2026-W10 (нед. с 2026-03-02);;;;;;;;;181.6364;0.6000
2026-W11 (нед. с 2026-03-09);;;;;;;;;181.6364;0.0000
2026-W12 (нед. с 2026-03-16);;;;;;;;;181.6364;0.0000
2026-W13 (нед. с 2026-03-23);;;;;;;;;181.6364;0.0000
2026-W14 (нед. с 2026-03-30);;;;;;;;;181.6364;0.0000
2026-W15 (нед. с 2026-04-06);;;;;;;;;181.8907;0.1400
2026-W16 (нед. с 2026-04-13);;;;;;;;;181.8907;0.0000
2026-W17 (нед. с 2026-04-20);;;;;;;;;181.8907;0.0000
2026-W18 (нед. с 2026-04-27);;;;;;;;;181.8907;0.0000
2026-W19 (нед. с 2026-05-04);;;;;;;;;182.1999;0.1700
2026-W20 (нед. с 2026-05-11);;;;;;;;;182.1999;0.0000
2026-W21 (нед. с 2026-05-18);;;;;;;;;182.1999;0.0000
2026-W22 (нед. с 2026-05-25);;;;;;;;;182.1999;0.0000
2026-W23 (нед. с 2026-06-01);;;;;;;;;183.7851;0.8700
2026-W24 (нед. с 2026-06-08);;;;;;;;;183.7851;0.0000
2026-W25 (нед. с 2026-06-15);;;;;;;;;183.7851;0.0000
2026-W26 (нед. с 2026-06-22);;;;;;;;;183.7851;0.0000
2026-W27 (нед. с 2026-06-29);;;;;;;;;183.7851;0.0000
2026-W28 (нед. с 2026-07-06);;;;;;;;;184.7775;0.5400
2026-W29 (нед. с 2026-07-13);;;;;;;;;184.7775;0.0000
2026-W30 (нед. с 2026-07-20);;;;;;;;;184.7775;0.0000
2026-W31 (нед. с 2026-07-27);;;;;;;;;184.7775;0.0000
2026-W32 (нед. с 2026-08-03);;;;;;;;;184.6297;-0.0800
2026-W33 (нед. с 2026-08-10);;;;;;;;;184.6297;0.0000
2026-W34 (нед. с 2026-08-17);;;;;;;;;184.6297;0.0000
2026-W35 (нед. с 2026-08-24);;;;;;;;;184.6297;0.0000
2026-W36 (нед. с 2026-08-31);;;;;;;;;184.6297;0.0000
2026-W37 (нед. с 2026-09-07);;;;;;;;;;
